Experiment,time[h],VCD,Glc,Gln,Amm,Lac,reactor_temperature,pH,reactor_volume,disc_volume_feed,disc_Glc_feed_g,disc_Gln_feed_g,conti_volume_feed,conti_glucose_feed_g,conti_glutamine_feed_g,stirring_rate,inital_volume,total_run_time
66,264.0,0.43526682408980066,142.22131974161,9.134579467967203,17.26768338204912,40.17076795701393,36.31907898559033,6.707306788398495,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,288.0,0.3379809349995617,141.40348027899373,7.6163437464670745,18.7325350276887,41.17671049603192,36.098967658589835,6.707306788398495,0.85,0.0,0.0,0.0,0.0,0.0,0.0,172.7366479022666,1.0,336.0
66,312.0,0.2613414471909525,140.79370335171632,6.357822904271548,19.951763023132056,41.926736116583164,36.098967658589835,6.707306788398495,0.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,172.7366479022666,1.0,336.0
68,0.0,0.38050338964392516,44.37523546841901,3.536395981223812,0.1,0.1,37.10970304693416,7.074646286964673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,193.10938305246745,1.0,336.0
68,24.0,1.4040228011002904,36.60738336898172,1.9015238379670825,1.29116497424873,9.654458082307858,37.10970304693416,7.074646286964673,0.9499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,193.10938305246745,1.0,336.0
68,48.0,2.6930140201371007,23.52054371430648,0.031621524797427976,2.4625344500070674,25.7512708575584,37.10970304693416,7.074646286964673,0.9499999999999998,0.05,7.435073936665747,3.858172542378842,0.0,0.0,0.0,193.10938305246745,1.0,336.0
68,72.0,3.760355082632701,13.401957549016661,1.4821590342277826,3.9866091340990115,44.945620220644976,37.10970304693416,7.074646286964673,0.9499999999999998,0.05,7.435073936665747,3.858172542378842,0.0,0.0,0.0,193.10938305246745,1.0,336.0
68,96.0,4.125015466119624,4.355179611144216,2.824987462477371,5.452829023352685,62.46646186507239,37.10970304693416,7.074646286964673,0.9499999999999998,0.05,7.435073936665747,3.858172542378842,0.0,0.0,0.0,193.10938305246745,1.0,336.0
68,120.0,3.7791722649800565,2.0516015642346235e-05,4.363502533754193,6.724767697906261,73.88012260761724,37.10970304693416,7.074646286964673,0.9499999999999998,0.05,7.435073936665747,3.858172542378842,0.0,0.0,0.0,193.10938305246745,1.0,336.0
68,144.0,3.0745782960004937,0.0,6.018657220385584,7.922721251050126,79.61818321322616,37.10970304693416,7.074646286964673,0.9499999999999998,0.05,7.435073936665747,3.858172542378842,0.0,0.0,0.0,193.10938305246745,1.0,336.0
68,168.0,2.5179997051162246,0.17882139614071413,7.416380093160657,9.319920144844897,84.8342662978818,35.593316142621035,7.074646286964673,0.9499999999999998,0.05,7.435073936665747,3.858172542378842,0.0,0.0,0.0,193.10938305246745,1.0,336.0
